run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
tight,2462661.500000000,5,Jupiter Barycenter,-3.13792345494767133e+00,-4.05382543065576506e+00,-1.66112856782752405e+00,6.04557792981337550e-03,-3.66325429752967311e-03,-1.71733163128409130e-03
tight,2462661.500000000,6,Saturn Barycenter,4.72394486483739851e+00,7.25314109039773669e+00,2.79242157568945260e+00,-5.06651418444925648e-03,2.59122593593115675e-03,1.28853299751312896e-03
tight,2462661.500000000,7,Uranus Barycenter,3.91475194489399758e+00,1.72296013686124425e+01,7.49070742749249074e+00,-3.87928094631632405e-03,5.46738872776641387e-04,2.94305468091879570e-04
tight,2462661.500000000,8,Neptune Barycenter,2.93141381105883845e+01,5.44870982898734901e+00,1.50036601940313874e+00,-6.09032709237755784e-04,2.86597119716264746e-03,1.18821920829301122e-03
tight,2462661.500000000,9,Pluto Barycenter,2.34585305259731172e+01,-2.39677591804115515e+01,-1.45475857542033822e+01,2.50156336170286389e-03,1.54118431332246988e-03,-2.72753300489788362e-04
tight,2462661.500000000,10,Sun,-3.76460108343066558e-05,7.66409919510947215e-04,3.84610326635966395e-04,-4.17507650636691960e-06,2.54512458604152412e-06,1.17882969324430471e-06
tight,2463026.750000000,1,Mercury Barycenter,4.96519588233025611e-02,2.70871399840217741e-01,1.39334772473251350e-01,-3.33851504669506402e-02,3.87536140210923731e-03,5.52941768301772052e-03
tight,2463026.750000000,2,Venus Barycenter,-5.70640107997454349e-01,-4.18108687587026184e-01,-1.52088748328288753e-01,1.23226295201298679e-02,-1.43266566141924748e-02,-7.22659383292973117e-03
tight,2463026.750000000,3,Earth-Moon Barycenter,-2.16171132529766663e-01,-9.09090682946294248e-01,-3.93974573502824332e-01,1.65312642739813727e-02,-3.39365469355845575e-03,-1.47103405693847040e-03
tight,2463026.750000000,4,Mars Barycenter,-7.26774570662146568e-01,-1.22231675807587137e+00,-5.41045855870851855e-01,1.28252100012159215e-02,-4.84435123109009432e-03,-2.56782523166561912e-03
tight,2463026.750000000,5,Jupiter Barycenter,-6.29736143504364465e-01,-4.82520855527493886e+00,-2.05282073303133172e+00,7.40352676175068825e-03,-4.36455634102518033e-04,-3.67305553656144810e-04
tight,2463026.750000000,6,Saturn Barycenter,2.76544932847986713e+00,8.00053141990030880e+00,3.18548998370061742e+00,-5.61180546128135695e-03,1.48008722681315609e-03,8.53072666482419242e-04
tight,2463026.750000000,7,Uranus Barycenter,2.48819716388912804e+00,1.73807685987283094e+01,7.57708340156465088e+00,-3.92854037778795056e-03,2.80141937956379964e-04,1.78233863339566584e-04
tight,2463026.750000000,8,Neptune Barycenter,2.90699707757671035e+01,6.49120132779628367e+00,1.93314195695634150e+00,-7.27798446582543068e-04,2.84169195857516795e-03,1.18123851035937351e-03
tight,2463026.750000000,9,Pluto Barycenter,2.43626811006170563e+01,-2.33952894765861146e+01,-1.46413520756326072e+01,2.44914802357182326e-03,1.59309808420011090e-03,-2.40760720969278194e-04
tight,2463026.750000000,10,Sun,-1.79407686378638197e-03,1.23055113125310417e-03,6.20665525188672344e-04,-5.33450507257803148e-06,-1.18736163435493752e-07,6.02505846749833646e-08
tight,2463392.000000000,1,Mercury Barycenter,-3.28945644722262898e-01,1.13083482131055013e-01,9.41839457099118427e-02,-1.69588889094511829e-02,-2.24234889828515520e-02,-1.02216652303320880e-02
tight,2463392.000000000,2,Venus Barycenter,9.87856596263016612e-02,6.53071388791478746e-01,2.87512413228964536e-01,-2.00933520253863442e-02,2.06647828483095619e-03,2.20086741555155759e-03
tight,2463392.000000000,3,Earth-Moon Barycenter,-2.18165208502564767e-01,-9.09711612576179718e-01,-3.94200672680430519e-01,1.65309959876666600e-02,-3.39807281805331457e-03,-1.47297019546102984e-03
tight,2463392.000000000,4,Mars Barycenter,-9.89936920131050807e-02,1.43128705784428445e+00,6.59181753056657493e-01,-1.34443031106030748e-02,1.76985718617772277e-04,4.43663049412734494e-04
tight,2463392.000000000,5,Jupiter Barycenter,2.03500011473292508e+00,-4.33012822075865422e+00,-1.90548793570693742e+00,6.84095153751169711e-03,3.12879108689539769e-03,1.17453557398893840e-03
tight,2463392.000000000,6,Saturn Barycenter,6.60209247462563931e-01,8.32296075634809718e+00,3.40935117805787513e+00,-5.86468124094248131e-03,2.75799511713229156e-04,3.66537087069383066e-04
tight,2463392.000000000,7,Uranus Barycenter,1.04760125105355684e+00,1.74337013340206894e+01,7.62063171437632914e+00,-3.95605306898853034e-03,9.08248604786744280e-06,5.99005374158630513e-05
tight,2463392.000000000,8,Neptune Barycenter,2.87826063882179852e+01,7.52404961446549070e+00,2.36304635417986608e+00,-8.45537337052792298e-04,2.81317318268637512e-03,1.17249694698404595e-03
tight,2463392.000000000,9,Pluto Barycenter,2.52475312859015837e+01,-2.28042838955892293e+01,-1.47235190202876751e+01,2.39589590580131058e-03,1.64268854220400110e-03,-2.09240884108782382e-04
tight,2463392.000000000,10,Sun,-3.66056067425974806e-03,6.06701783513829626e-04,3.90488609196662495e-04,-4.63270187125640559e-06,-3.20258125704553155e-06,-1.28860449022507658e-06
